id,family,date,sales,Trained,store_nbr,onpromotion
1,BREAD/BAKERY,1/1/13,0,1,1,0
2,EGGS,1/1/13,0,1,1,0
3,FROZEN FOODS,1/1/13,0,1,1,0
4,GROCERY I,1/1/13,0,1,1,0
5,GROCERY II,1/1/13,0,1,1,0
6,MEATS,1/1/13,0,1,1,0
7,POULTRY,1/1/13,0,1,1,0
8,PRODUCE,1/1/13,0,1,1,0
9,SEAFOOD,1/1/13,0,1,1,0
10,BREAD/BAKERY,1/2/13,470.652,1,1,0
11,EGGS,1/2/13,246,1,1,0
12,FROZEN FOODS,1/2/13,131,1,1,0
13,GROCERY I,1/2/13,2652,1,1,0
14,GROCERY II,1/2/13,31,1,1,0
15,MEATS,1/2/13,369.101,1,1,0
16,POULTRY,1/2/13,247.297,1,1,0
17,PRODUCE,1/2/13,0,1,1,0
18,SEAFOOD,1/2/13,38.029,1,1,0
19,BREAD/BAKERY,1/3/13,310.655,1,1,0
20,EGGS,1/3/13,203,1,1,0
21,FROZEN FOODS,1/3/13,87.044,1,1,0
22,GROCERY I,1/3/13,2121,1,1,0
23,GROCERY II,1/3/13,12,1,1,0
24,MEATS,1/3/13,272.319,1,1,0
25,POULTRY,1/3/13,187.278,1,1,0
26,PRODUCE,1/3/13,0,1,1,0
27,SEAFOOD,1/3/13,17.366001,1,1,0
28,BREAD/BAKERY,1/4/13,198.366,1,1,0
29,EGGS,1/4/13,171,1,1,0
30,FROZEN FOODS,1/4/13,65,1,1,0
31,GROCERY I,1/4/13,2056,1,1,0
32,GROCERY II,1/4/13,15,1,1,0
33,MEATS,1/4/13,454.172,1,1,0
34,POULTRY,1/4/13,258.023,1,1,0
35,PRODUCE,1/4/13,0,1,1,0
36,SEAFOOD,1/4/13,29.907001,1,1,0
37,BREAD/BAKERY,1/5/13,301.057,1,1,0
38,EGGS,1/5/13,177,1,1,0
39,FROZEN FOODS,1/5/13,70,1,1,0
40,GROCERY I,1/5/13,2216,1,1,0
41,GROCERY II,1/5/13,30,1,1,0
42,MEATS,1/5/13,328.94,1,1,0
43,POULTRY,1/5/13,212.33301,1,1,0
44,PRODUCE,1/5/13,0,1,1,0
45,SEAFOOD,1/5/13,24.842,1,1,0
46,BREAD/BAKERY,1/6/13,147.182,1,1,0
47,EGGS,1/6/13,85,1,1,0
48,FROZEN FOODS,1/6/13,32.73,1,1,0
49,GROCERY I,1/6/13,723,1,1,0
50,GROCERY II,1/6/13,5,1,1,0
51,MEATS,1/6/13,113.282,1,1,0
52,POULTRY,1/6/13,73.758,1,1,0
53,PRODUCE,1/6/13,0,1,1,0
54,SEAFOOD,1/6/13,5,1,1,0
55,BREAD/BAKERY,1/7/13,309.676,1,1,0
56,EGGS,1/7/13,157,1,1,0
57,FROZEN FOODS,1/7/13,95,1,1,0
58,GROCERY I,1/7/13,2262,1,1,0
59,GROCERY II,1/7/13,20,1,1,0
60,MEATS,1/7/13,266.72,1,1,0
61,POULTRY,1/7/13,218.293,1,1,0
62,PRODUCE,1/7/13,0,1,1,0
63,SEAFOOD,1/7/13,4,1,1,0
64,BREAD/BAKERY,1/8/13,321.851,1,1,0
65,EGGS,1/8/13,150,1,1,0
66,FROZEN FOODS,1/8/13,84,1,1,0
67,GROCERY I,1/8/13,1782,1,1,0
68,GROCERY II,1/8/13,22,1,1,0
69,MEATS,1/8/13,393.51,1,1,0
70,POULTRY,1/8/13,165.968,1,1,0
71,PRODUCE,1/8/13,0,1,1,0
72,SEAFOOD,1/8/13,30.767,1,1,0
73,BREAD/BAKERY,1/9/13,298.582,1,1,0
74,EGGS,1/9/13,171,1,1,0
75,FROZEN FOODS,1/9/13,86,1,1,0
76,GROCERY I,1/9/13,2429,1,1,0
77,GROCERY II,1/9/13,56,1,1,0
78,MEATS,1/9/13,390.15298,1,1,0
79,POULTRY,1/9/13,207.27501,1,1,0
80,PRODUCE,1/9/13,0,1,1,0
81,SEAFOOD,1/9/13,33.42,1,1,0
82,BREAD/BAKERY,1/10/13,303.515,1,1,0
83,EGGS,1/10/13,117,1,1,0
84,FROZEN FOODS,1/10/13,61,1,1,0
85,GROCERY I,1/10/13,1544,1,1,0
86,GROCERY II,1/10/13,39,1,1,0
87,MEATS,1/10/13,246.035,1,1,0
88,POULTRY,1/10/13,156.072,1,1,0
89,PRODUCE,1/10/13,0,1,1,0
90,SEAFOOD,1/10/13,26.2,1,1,0
91,BREAD/BAKERY,1/11/13,296.43298,1,1,0
92,EGGS,1/11/13,148,1,1,0
93,FROZEN FOODS,1/11/13,68.841,1,1,0
94,GROCERY I,1/11/13,1750,1,1,0
95,GROCERY II,1/11/13,27,1,1,0
96,MEATS,1/11/13,458.241,1,1,0
97,POULTRY,1/11/13,179.567,1,1,0
98,PRODUCE,1/11/13,0,1,1,0
99,SEAFOOD,1/11/13,37.231,1,1,0
100,BREAD/BAKERY,1/12/13,321.681,1,1,0
101,EGGS,1/12/13,166,1,1,0
102,FROZEN FOODS,1/12/13,83.905,1,1,0
103,GROCERY I,1/12/13,1796,1,1,0
104,GROCERY II,1/12/13,33,1,1,0
105,MEATS,1/12/13,260.07098,1,1,0
106,POULTRY,1/12/13,140.046,1,1,0
107,PRODUCE,1/12/13,0,1,1,0
108,SEAFOOD,1/12/13,26.913,1,1,0
109,BREAD/BAKERY,1/13/13,151.22,1,1,0
110,EGGS,1/13/13,98,1,1,0
111,FROZEN FOODS,1/13/13,47,1,1,0
112,GROCERY I,1/13/13,961,1,1,0
113,GROCERY II,1/13/13,9,1,1,0
114,MEATS,1/13/13,131.269,1,1,0
115,POULTRY,1/13/13,88.117004,1,1,0
116,PRODUCE,1/13/13,0,1,1,0
117,SEAFOOD,1/13/13,14.146,1,1,0
118,BREAD/BAKERY,1/14/13,281.286,1,1,0
119,EGGS,1/14/13,143,1,1,0
120,FROZEN FOODS,1/14/13,78.15,1,1,0
121,GROCERY I,1/14/13,1902,1,1,0
122,GROCERY II,1/14/13,19,1,1,0
123,MEATS,1/14/13,311.573,1,1,0
124,POULTRY,1/14/13,195.12401,1,1,0
125,PRODUCE,1/14/13,0,1,1,0
126,SEAFOOD,1/14/13,33.397,1,1,0
127,BREAD/BAKERY,1/15/13,285.612,1,1,0
128,EGGS,1/15/13,136,1,1,0
129,FROZEN FOODS,1/15/13,47,1,1,0
130,GROCERY I,1/15/13,1671,1,1,0
131,GROCERY II,1/15/13,30,1,1,0
132,MEATS,1/15/13,287.346,1,1,0
133,POULTRY,1/15/13,184.33,1,1,0
134,PRODUCE,1/15/13,0,1,1,0
135,SEAFOOD,1/15/13,23.085,1,1,0
136,BREAD/BAKERY,1/16/13,386.158,1,1,0
137,EGGS,1/16/13,207,1,1,0
138,FROZEN FOODS,1/16/13,102,1,1,0
139,GROCERY I,1/16/13,2387,1,1,0
140,GROCERY II,1/16/13,35,1,1,0
141,MEATS,1/16/13,369.492,1,1,0
142,POULTRY,1/16/13,225.768,1,1,0
143,PRODUCE,1/16/13,0,1,1,0
144,SEAFOOD,1/16/13,37.913002,1,1,0
145,BREAD/BAKERY,1/17/13,278.754,1,1,0
146,EGGS,1/17/13,132,1,1,0
147,FROZEN FOODS,1/17/13,61,1,1,0
148,GROCERY I,1/17/13,1648,1,1,0
149,GROCERY II,1/17/13,24,1,1,0
150,MEATS,1/17/13,280.879,1,1,0
151,POULTRY,1/17/13,140.855,1,1,0
152,PRODUCE,1/17/13,0,1,1,0
153,SEAFOOD,1/17/13,19.853,1,1,0
154,BREAD/BAKERY,1/18/13,270.991,1,1,0
155,EGGS,1/18/13,170,1,1,0
156,FROZEN FOODS,1/18/13,90,1,1,0
157,GROCERY I,1/18/13,1804,1,1,0
158,GROCERY II,1/18/13,32,1,1,0
159,MEATS,1/18/13,519.204,1,1,0
160,POULTRY,1/18/13,215.439,1,1,0
161,PRODUCE,1/18/13,0,1,1,0
162,SEAFOOD,1/18/13,30.970001,1,1,0
163,BREAD/BAKERY,1/19/13,322.255,1,1,0
164,EGGS,1/19/13,175,1,1,0
165,FROZEN FOODS,1/19/13,140,1,1,0
166,GROCERY I,1/19/13,1956,1,1,0
167,GROCERY II,1/19/13,47,1,1,0
168,MEATS,1/19/13,284.484,1,1,0
169,POULTRY,1/19/13,139.45,1,1,0
170,PRODUCE,1/19/13,0,1,1,0
171,SEAFOOD,1/19/13,17.52,1,1,0
172,BREAD/BAKERY,1/20/13,112.410995,1,1,0
173,EGGS,1/20/13,80,1,1,0
174,FROZEN FOODS,1/20/13,36,1,1,0
175,GROCERY I,1/20/13,895,1,1,0
176,GROCERY II,1/20/13,10,1,1,0
177,MEATS,1/20/13,108.286,1,1,0
178,POULTRY,1/20/13,98.501,1,1,0
179,PRODUCE,1/20/13,0,1,1,0
180,SEAFOOD,1/20/13,19.243,1,1,0
181,BREAD/BAKERY,1/21/13,294.395,1,1,0
182,EGGS,1/21/13,174,1,1,0
183,FROZEN FOODS,1/21/13,57,1,1,0
184,GROCERY I,1/21/13,1679,1,1,0
185,GROCERY II,1/21/13,8,1,1,0
186,MEATS,1/21/13,274.88602,1,1,0
187,POULTRY,1/21/13,229.467,1,1,0
188,PRODUCE,1/21/13,0,1,1,0
189,SEAFOOD,1/21/13,29.333,1,1,0
190,BREAD/BAKERY,1/22/13,299.201,1,1,0
191,EGGS,1/22/13,140,1,1,0
192,FROZEN FOODS,1/22/13,59,1,1,0
193,GROCERY I,1/22/13,1809,1,1,0
194,GROCERY II,1/22/13,30,1,1,0
195,MEATS,1/22/13,274.261,1,1,0
196,POULTRY,1/22/13,147.272,1,1,0
197,PRODUCE,1/22/13,0,1,1,0
198,SEAFOOD,1/22/13,18.955,1,1,0
199,BREAD/BAKERY,1/23/13,334.953,1,1,0
200,EGGS,1/23/13,203,1,1,0
201,FROZEN FOODS,1/23/13,125.094,1,1,0
202,GROCERY I,1/23/13,2271,1,1,0
203,GROCERY II,1/23/13,45,1,1,0
204,MEATS,1/23/13,312.199,1,1,0
205,POULTRY,1/23/13,170.537,1,1,0
206,PRODUCE,1/23/13,0,1,1,0
207,SEAFOOD,1/23/13,38.097,1,1,0
208,BREAD/BAKERY,1/24/13,341.388,1,1,0
